time,call
44956.4479166667,107
44956.4583333333,130
44956.4687500000,111
44956.4791666667,107
44956.4895833333,118
44956.5000000000,112
44956.5104166667,115
44956.5208333333,76
44956.5312500000,107
44956.5416666667,117
44956.5520833333,97
44956.5625000000,121
44956.5729166667,91
44956.5833333333,126
44956.5937500000,138
44956.6041666667,154
44956.6145833333,116
44956.6250000000,107
44956.6354166667,134
44956.6458333333,102
44956.6562500000,99
44956.6666666667,138
44956.6770833333,110
44956.6875000000,101
44956.6979166667,109
44956.7083333333,92
44956.7187500000,89
44956.7291666667,98
44956.7395833333,82
44956.7500000000,71
44956.7604166667,89
44956.7708333333,68
44956.7812500000,65
44956.7916666667,54
44956.8020833333,42
44956.8125000000,56
44956.8229166667,44
44956.8333333333,34
44956.8437500000,32
44956.8541666667,31
44956.8645833333,33
44956.8750000000,0
44957.3541666667,29
44957.3645833333,31
44957.3750000000,67
44957.3854166667,59
44957.3958333333,69
44957.4062500000,83
44957.4166666667,107
44957.4270833333,93
44957.4375000000,97
44957.4479166667,108
44957.4583333333,80
44957.4687500000,116
44957.4791666667,98
44957.4895833333,121
44957.5000000000,117
44957.5104166667,107
44957.5208333333,139
44957.5312500000,123
44957.5416666667,118
44957.5520833333,112
44957.5625000000,106
