date,year,month,time,call,,,,date,
6,2023,1,10:00-10:15,84,,06/01/2023,10:00,44932,10:00:00
6,2023,1,10:15-10:30,98,,06/01/2023,10:15,44932,10:15:00
6,2023,1,10:30-10:45,106,,06/01/2023,10:30,44932,10:30:00
6,2023,1,10:45-11:00,92,,06/01/2023,10:45,44932,10:45:00
6,2023,1,11:00-11:15,107,,06/01/2023,11:00,44932,11:00:00
6,2023,1,11:15-11:30,104,,06/01/2023,11:15,44932,11:15:00
6,2023,1,11:30-11:45,116,,06/01/2023,11:30,44932,11:30:00
6,2023,1,11:45-12:00,105,,06/01/2023,11:45,44932,11:45:00
6,2023,1,12:00-12:15,107,,06/01/2023,12:00,44932,12:00:00
6,2023,1,12:15-12:30,109,,06/01/2023,12:15,44932,12:15:00
6,2023,1,12:30-12:45,121,,06/01/2023,12:30,44932,12:30:00
6,2023,1,12:45-13:00,159,,06/01/2023,12:45,44932,12:45:00
6,2023,1,13:00-13:15,120,,06/01/2023,13:00,44932,13:00:00
6,2023,1,13:15-13:30,155,,06/01/2023,13:15,44932,13:15:00
6,2023,1,13:30-13:45,148,,06/01/2023,13:30,44932,13:30:00
6,2023,1,13:45-14:00,132,,06/01/2023,13:45,44932,13:45:00
6,2023,1,14:00-14:15,133,,06/01/2023,14:00,44932,14:00:00
6,2023,1,14:15-14:30,111,,06/01/2023,14:15,44932,14:15:00
6,2023,1,14:30-14:45,106,,06/01/2023,14:30,44932,14:30:00
6,2023,1,14:45-15:00,142,,06/01/2023,14:45,44932,14:45:00
6,2023,1,15:00-15:15,114,,06/01/2023,15:00,44932,15:00:00
6,2023,1,15:15-15:30,106,,06/01/2023,15:15,44932,15:15:00
6,2023,1,15:30-15:45,103,,06/01/2023,15:30,44932,15:30:00
6,2023,1,15:45-16:00,111,,06/01/2023,15:45,44932,15:45:00
6,2023,1,16:00-16:15,87,,06/01/2023,16:00,44932,16:00:00
6,2023,1,16:15-16:30,94,,06/01/2023,16:15,44932,16:15:00
6,2023,1,16:30-16:45,83,,06/01/2023,16:30,44932,16:30:00
6,2023,1,16:45-17:00,118,,06/01/2023,16:45,44932,16:45:00
6,2023,1,17:00-17:15,83,,06/01/2023,17:00,44932,17:00:00
6,2023,1,17:15-17:30,71,,06/01/2023,17:15,44932,17:15:00
6,2023,1,17:30-17:45,79,,06/01/2023,17:30,44932,17:30:00
6,2023,1,17:45-18:00,75,,06/01/2023,17:45,44932,17:45:00
6,2023,1,18:00-18:15,63,,06/01/2023,18:00,44932,18:00:00
6,2023,1,18:15-18:30,61,,06/01/2023,18:15,44932,18:15:00
6,2023,1,18:30-18:45,56,,06/01/2023,18:30,44932,18:30:00
6,2023,1,18:45-19:00,50,,06/01/2023,18:45,44932,18:45:00
6,2023,1,19:00-19:15,44,,06/01/2023,19:00,44932,19:00:00
6,2023,1,19:15-19:30,41,,06/01/2023,19:15,44932,19:15:00
6,2023,1,19:30-19:45,41,,06/01/2023,19:30,44932,19:30:00
6,2023,1,19:45-20:00,42,,06/01/2023,19:45,44932,19:45:00
6,2023,1,20:00-20:15,36,,06/01/2023,20:00,44932,20:00:00
6,2023,1,20:15-20:30,22,,06/01/2023,20:15,44932,20:15:00
6,2023,1,20:30-20:45,27,,06/01/2023,20:30,44932,20:30:00
6,2023,1,20:45-21:00,29,,06/01/2023,20:45,44932,20:45:00
6,2023,1,21:00-21:15,0,,06/01/2023,21:00,44932,21:00:00
8,2023,1,08:30-08:45,0,,08/01/2023,08:30,44934,08:30:00
8,2023,1,08:45-09:00,0,,08/01/2023,08:45,44934,08:45:00
8,2023,1,09:00-09:15,20,,08/01/2023,09:00,44934,09:00:00
8,2023,1,09:15-09:30,22,,08/01/2023,09:15,44934,09:15:00
8,2023,1,09:30-09:45,20,,08/01/2023,09:30,44934,09:30:00
8,2023,1,09:45-10:00,22,,08/01/2023,09:45,44934,09:45:00
